                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.7307,                 1.2111,                0.53462,                 1.0045,                0.90391,                0.88084,                0.93803,                0.81604,                0.90391,                0.88084,                0.94164,                0.84029,                 0.5357,                0.65394,                0.44179,                0.91802,              0.0011036,              0.0011036,              0.0011036
                     26,                0.73146,                 1.2078,                0.52907,                 1.0078,                 0.9716,                0.84061,                0.94144,                0.80535,                 0.9716,                0.84061,                0.94158,                0.84368,                0.55295,                0.64325,                0.45704,                0.92285,              0.0010895,              0.0010895,              0.0010895
                     27,                0.72275,                 1.1815,                0.51977,                 1.0006,                0.98856,                0.85231,                0.95331,                0.81155,                0.97858,                0.86328,                0.95323,                0.85259,                0.53276,                0.65642,                0.43622,                 0.9245,              0.0010753,              0.0010753,              0.0010753
                     28,                0.71688,                 1.1702,                0.51197,                 0.9941,                0.90953,                0.91648,                  0.967,                0.83724,                0.91121,                0.91821,                 0.9694,                0.84704,                 0.5187,                0.64143,                 0.4109,                0.90827,              0.0010612,              0.0010612,              0.0010612
                     29,                 0.7088,                 1.1687,                0.50932,                0.99258,                0.96534,                0.83124,                0.93562,                0.80052,                0.97451,                0.83918,                0.93998,                0.83045,                0.54411,                0.67412,                0.45389,                0.92582,               0.001047,               0.001047,               0.001047
                     30,                0.70442,                 1.1434,                0.50351,                0.98695,                0.95958,                0.84804,                 0.9381,                0.79964,                0.96893,                0.85018,                0.93187,                0.82763,                0.54279,                0.63575,                0.45595,                0.92806,              0.0010329,              0.0010329,              0.0010329
                     31,                 0.6967,                 1.1326,                0.49183,                0.98771,                0.92987,                0.92217,                0.96672,                0.82983,                0.93169,                 0.9239,                0.96742,                0.85602,                0.51675,                0.61333,                0.41255,                0.92093,              0.0010187,              0.0010187,              0.0010187
                     32,                0.70152,                 1.1439,                0.49669,                0.98564,                0.97237,                 0.8751,                0.96372,                0.84478,                0.97417,                0.87673,                0.96483,                0.86128,                0.50313,                0.60955,                0.40616,                 0.9065,              0.0010046,              0.0010046,              0.0010046
                     33,                0.68237,                 1.1226,                0.48476,                0.98361,                0.92489,                0.89319,                0.94825,                0.82153,                0.92662,                0.89492,                0.94839,                0.85236,                0.50172,                0.60849,                0.41756,                0.90332,             0.00099044,             0.00099044,             0.00099044
                     34,                0.68484,                 1.1044,                0.48251,                0.98304,                0.98003,                0.88223,                0.95419,                0.82546,                0.95936,                0.90152,                0.96267,                  0.854,                  0.513,                0.58953,                0.43193,                0.91593,             0.00097629,             0.00097629,             0.00097629
                     35,                0.68808,                 1.1006,                0.48562,                 0.9861,                0.94682,                0.89181,                0.96423,                0.84139,                0.94647,                0.89227,                0.96365,                 0.8738,                0.46765,                0.56314,                0.37504,                0.87347,             0.00096215,             0.00096215,             0.00096215
                     36,                 0.6778,                 1.0962,                0.47506,                0.98282,                0.96931,                0.89219,                0.96571,                0.83938,                0.97931,                0.90013,                0.97248,                0.86202,                0.48579,                0.60027,                0.36696,                0.88691,               0.000948,               0.000948,               0.000948
                     37,                0.67223,                  1.091,                0.47601,                0.97717,                0.96273,                0.85868,                0.95379,                0.82798,                0.96462,                0.86041,                0.95691,                0.85142,                0.50948,                0.59406,                0.40296,                0.90291,             0.00093385,             0.00093385,             0.00093385
                     38,                0.66532,                  1.081,                0.46887,                0.97416,                0.94471,                0.90406,                0.95681,                0.82865,                0.94834,                0.90751,                0.96254,                0.84782,                0.49802,                0.69867,                0.40566,                0.91319,              0.0009197,              0.0009197,              0.0009197
                     39,                0.66951,                 1.0839,                0.46483,                0.97372,                0.95523,                0.86541,                0.95066,                0.83437,                0.96449,                0.87335,                0.96036,                0.85987,                 0.5055,                0.66598,                0.40667,                0.91985,             0.00090556,             0.00090556,             0.00090556
                     40,                0.66378,                 1.0701,                0.46772,                0.97694,                0.95771,                0.89049,                0.95559,                0.84027,                0.95771,                0.89049,                0.95559,                0.86712,                0.47706,                0.55623,                0.39351,                0.88653,             0.00089141,             0.00089141,             0.00089141
